	ERR9081485	ERR9081486	ERR9081487	ERR9081488	ERR9081489	ERR9081490
AT3G48040.2	1.985564	1.02513	1.478844	0.919963	1.431352	1.511443
AT3G48050.1	5.469317	5.710424	5.291301	4.362721	6.454136	5.9483
AT3G48050.2	22.489082	22.163331	21.320097	25.016137	21.848293	23.609727
AT3G48060.1	5.448153	2.651184	1.801677	4.213532	0	3.096755
AT3G48060.2	2.75558	2.513583	2.077927	2.97894	3.276801	3.40503
AT3G48060.3	3.860954	6.312932	7.041017	5.024382	8.818255	6.522297
AT3G48070.1	10.623185	9.941308	10.296773	10.868928	11.247508	11.158711
AT3G48070.2	12.145715	12.402651	11.483809	13.633288	13.390462	12.519944
AT3G48070.3	2.289015	0.665029	0.573223	1.823013	1.066593	1.285818
AT3G48080.1	3.814713	3.673885	2.54279	2.112901	3.803898	3.725159
AT3G48090.1	8.882903	7.338238	6.920168	7.222613	8.909723	10.099216
AT3G48090.2	4.807421	5.926939	6.163602	3.891694	4.544817	3.905996
AT3G48100.1	10.641735	10.090981	11.193454	9.549209	10.708386	11.504126
AT3G48110.1	25.871051	23.952026	25.064216	23.433272	22.116803	22.533187
AT3G48120.1	17.748586	16.880235	16.594673	15.717129	17.425984	13.914817
AT3G48120.2	1.498994	5.442161	0.549672	3.146294	4.369674	3.043321
AT3G48131.1	0	0	0	0	0	0
AT3G48140.1	1013.402434	1043.707158	1067.129136	1081.354553	1160.838371	1102.128487
AT3G48150.1	3.724498	3.491292	5.756658	4.728683	3.517093	3.864654
AT3G48150.2	1.756758	2.386043	1.379214	1.574597	2.737598	2.232607
AT3G48160.1	0	0	0	0	0	0
AT3G48160.2	1.491992	1.66147	1.934602	1.549792	1.352811	1.485348
AT3G48170.1	90.609045	91.663209	92.550814	94.966703	90.123561	93.602907
AT3G48180.1	8.525197	8.488672	8.213457	7.534346	8.291989	8.796087
AT3G48185.1	3.752538	3.168484	4.436998	3.565054	2.853018	3.200705
AT3G48187.1	1.157571	1.185139	1.695301	1.215992	1.002923	1.277607
AT3G48190.1	1.173533	1.114584	1.183554	0.899491	1.082454	0.833085
AT3G48190.2	4.792877	4.079471	4.338208	4.900919	4.418806	4.907289
AT3G48190.3	0	0	0	0	0	0
AT3G48195.1	13.968046	13.204295	12.862211	13.029164	14.424129	14.778176
AT3G48200.1	9.816133	10.518108	10.133845	8.931482	8.761814	9.534642
AT3G48205.1	0	0	0	0	0	0
AT3G48205.2	0	0	0	0	0	0
AT3G48208.1	0	0	0	0	0	0
AT3G48209.1	0	0	0	0	0	0
AT3G48210.1	10.227659	10.000234	10.406568	8.754963	9.458912	9.455501
AT3G48220.1	0	0	0	0	0	0
AT3G48230.1	0	0	0	0	0	0
AT3G48231.1	0	0	0	0	0	0
AT3G48240.1	0.105046	0.25829	0.311859	0.410964	0.402953	0.487954
AT3G48250.1	2.417796	2.246917	3.296199	2.973581	2.409375	2.330124
AT3G48260.1	2.166042	2.414252	2.989641	2.647311	2.141307	2.290475
AT3G48260.2	0.250328	0.736583	1.25826	1.002198	0.74652	1.327455
AT3G48270.1	0	0	0	0.019555	0	0.015817
